Thread ID: 2148303280
Total: 0.027374

 %self     total     self     wait    child    calls  name
  0.11      0.00     0.00     0.00     0.00        2  ActionController::RecordIdentifier#model_name_from_record_or_class
  0.11      0.00     0.00     0.00     0.00        3  HashWithIndifferentAccess#default
  0.11      0.00     0.00     0.00     0.00        5  Object#returning
  0.11      0.00     0.00     0.00     0.00       20  Hash#include?
  0.11      0.00     0.00     0.00     0.00        2  ActionController::Base#default_template_name
  0.11      0.00     0.00     0.00     0.00       23  Kernel#instance_of?
  0.11      0.00     0.00     0.00     0.00       14  Hash#key?
  0.11      0.00     0.00     0.00     0.00        5  ActiveSupport::CoreExtensions::Array::ExtractOptions#extract_options!
  0.11      0.00     0.00     0.00     0.00       23  String#include?
  0.11      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#stylesheet_link_tag
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_text
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_template_class
  0.11      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#read
  0.11      0.00     0.00     0.00     0.00        7  ActiveSupport::CoreExtensions::Hash::Keys#symbolize_keys
  0.11      0.00     0.00     0.00     0.00        2  ActionController::MimeResponds::Responder#custom
  0.11      0.01     0.00     0.00     0.01        1  ActionView::Base::CompiledTemplates#_run_erb_app47views47things47index46html46erb
  0.11      0.00     0.00     0.00     0.00        3  ActionController::Routing::Route#append_query_string
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Request#remote_ip
  0.11      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#add_joins!
  0.11      0.00     0.00     0.00     0.00        1  ActiveSupport::MessageVerifier#verify
  0.11      0.00     0.00     0.00     0.00        1  Module#blankslate_original_append_features
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Layout#candidate_for_layout?
  0.11      0.00     0.00     0.00     0.00        2  ActionController::Response#charset
  0.10      0.00     0.00     0.00     0.00        9  Kernel#to_s
  0.10      0.00     0.00     0.00     0.00        5  ActiveSupport::BufferedLogger#clear_buffer
  0.10      0.00     0.00     0.00     0.00       10  ActionController::Base#logger
  0.10      0.00     0.00     0.00     0.00        1  ActionView::Helpers::UrlHelper#method_javascript_function
  0.10      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#delete
  0.10      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name_without_locals
  0.10      0.01     0.00     0.00     0.01        1  ActionController::MimeResponds::InstanceMethods#respond_to
  0.10      0.00     0.00     0.00     0.00        4  ActiveSupport::Inflector#inflections_without_route_reloading
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#requestify
  0.10      0.01     0.00     0.00     0.01        1  ActionController::Base#render_for_file
  0.10      0.00     0.00     0.00     0.00        1  ActionView::Helpers::UrlHelper#convert_options_to_javascript!
  0.10      0.00     0.00     0.00     0.00        3  ActionController::Routing::Route#build_query_string
  0.10      0.00     0.00     0.00     0.00        3  URI::Escape#escape
  0.10      0.00     0.00     0.00     0.00        8  String#sub
  0.09      0.00     0.00     0.00     0.00        4  ActionController::Layout#default_template_format
  0.09      0.00     0.00     0.00     0.00        7  <Class::Mime::Type>#lookup
  0.09      0.00     0.00     0.00     0.00       14  Class#superclass
  0.09      0.00     0.00     0.00     0.00       13  String#to_sym
  0.09      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#find_every
  0.09      0.00     0.00     0.00     0.00        1  Rack::Request#cookies
  0.09      0.01     0.00     0.00     0.01        1  ActionView::Base#render
  0.09      0.00     0.00     0.00     0.00        1  SQLite3::Database#prepare
  0.09      0.00     0.00     0.00     0.00        8  ActionController::Base#request
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Layout#pick_layout
  0.09      0.00     0.00     0.00     0.00        1  #<Module:0x1024db1d0>#edit_thing_path
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Filters::InstanceMethods#run_before_filters
  0.09      0.00     0.00     0.00     0.00        4  SQLite3::Driver::Native::Driver#column_decltype
  0.09      0.02     0.00     0.00     0.02        1  ActionController::Filters::InstanceMethods#call_filters
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Response#set_content_length!
  0.09      0.00     0.00     0.00     0.00        2  ActionController::Base#default_template
  0.09      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#evaluate_method
  0.09      0.00     0.00     0.00     0.00       14  Kernel#instance_variable_get
  0.09      0.00     0.00     0.00     0.00        2  ActionController::Request#parameters
  0.09      0.00     0.00     0.00     0.00        9  Fixnum#to_s
  0.09      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#info
  0.09      0.00     0.00     0.00     0.00       10  Mime::Type#to_sym
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Request#path
  0.09      0.00     0.00     0.00     0.00        2  ActiveSupport::MessageVerifier#generate_digest
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize
  0.09      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.09      0.00     0.00     0.00     0.00        3  ActionController::Routing::Route#generate
  0.09      0.00     0.00     0.00     0.00       18  <Class::Thread>#critical=
  0.09      0.00     0.00     0.00     0.00        3  ActionView::Template#path_without_format_and_extension
  0.09      0.02     0.00     0.00     0.02        1  ActiveRecord::QueryCache::ClassMethods#cache
  0.08      0.00     0.00     0.00     0.00        4  <Module::SQLite3::Driver::Native::API>#sqlite3_column_decltype
  0.08      0.00     0.00     0.00     0.00        1  <Module::Rack::Utils>#parse_query
  0.08      0.00     0.00     0.00     0.00        1  Array#uniq!
  0.08      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#find
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Base#_copy_ivars_from_controller
  0.08      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_acquire
  0.08      0.00     0.00     0.00     0.00       16  Fixnum#<=>
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Response#handle_conditional_get!
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Layout#action_has_layout?
  0.08      0.00     0.00     0.00     0.00        1  #<Module:0x1024db1d0>#new_thing_path
  0.08      0.00     0.00     0.00     0.00       13  Array#first
  0.08      0.00     0.00     0.00     0.00       25  Fixnum#<
  0.08      0.00     0.00     0.00     0.00        3  Thing(id: integer, name: string, created_at: datetime, updated_at: datetime)#id
  0.08      0.00     0.00     0.00     0.00        2  ActionController::Request#request_uri
  0.08      0.00     0.00     0.00     0.00        4  Set#include?
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_shortcuts
  0.08      0.00     0.00     0.00     0.00        2  <Class::OpenSSL::HMAC>#hexdigest
  0.08      0.00     0.00     0.00     0.00        2  SQLite3::ResultSet#check
  0.08      0.03     0.00     0.00     0.03        1  ActionController::Integration::Runner#get
  0.08      0.00     0.00     0.00     0.00        3  <Module::I18n>#locale
  0.08      0.00     0.00     0.00     0.00        2  ActionView::Renderable#compile
  0.08      0.00     0.00     0.00     0.00        3  ActiveRecord::Base#to_param
  0.08      0.00     0.00     0.00     0.00        6  <Class::ActionController::Base>#relative_url_root
  0.08      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#call
  0.08      0.00     0.00     0.00     0.00        4  Kernel#clone
  0.08      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::QueryCache#cache_sql
  0.08      0.00     0.00     0.00     0.00        1  <Module::ActiveSupport::Cache>#expand_cache_key
  0.08      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::ConnectionPool#connected?
  0.08      0.00     0.00     0.00     0.00        3  Array#collect
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Session::CookieStore#load_session
  0.08      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#add_conditions!
  0.08      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.08      0.02     0.00     0.00     0.02        1  ActionController::Flash::InstanceMethods#perform_action
  0.08      0.00     0.00     0.00     0.00        4  ActiveSupport::Inflector#inflections
  0.08      0.01     0.00     0.00     0.01        6  Kernel#send(d3)
  0.08      0.00     0.00     0.00     0.00        7  NilClass#blank?
  0.08      0.00     0.00     0.00     0.00        5  ActiveSupport::BufferedLogger#flush
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Request#content_type
