Thread ID: 2148303280
Total: 0.021052

 %self     total     self     wait    child    calls  name
  0.08      0.00     0.00     0.00     0.00        1  ActiveSupport::Callbacks::Callback#evaluate_method
  0.08      0.00     0.00     0.00     0.00        2  ActionView::Renderable#render_without_template_tracking
  0.08      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_enter
  0.08      0.00     0.00     0.00     0.00        1  ActionController::StatusCodes#interpret_status
  0.07      0.00     0.00     0.00     0.00        5  Array#join
  0.07      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#checkin_callback_chain
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Rescue#template_path_for_local_rescue
  0.07      0.00     0.00     0.00     0.00        1  Rack::Lint#check_input
  0.07      0.00     0.00     0.00     0.00        2  ActionView::Base#_evaluate_assigns_and_ivars
  0.07      0.00     0.00     0.00     0.00        2  Class#read_inheritable_attribute
  0.07      0.00     0.00     0.00     0.00        7  Fixnum#>=
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize
  0.07      0.00     0.00     0.00     0.00        9  Kernel#==
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Response#assign_default_content_type_and_charset!
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_current_url
  0.07      0.00     0.00     0.00     0.00        1  Time#strftime
  0.07      0.00     0.00     0.00     0.00        5  ActionController::Base#request
  0.07      0.00     0.00     0.00     0.00        2  ActionView::Template::EagerPath#[]
  0.07      0.01     0.00     0.00     0.01        1  ActionController::Rescue#clean_backtrace
  0.07      0.02     0.00     0.00     0.02        1  Rack::Head#call
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Base#request_origin
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing
  0.07      0.00     0.00     0.00     0.00        1  ActionController::StatusCodes#interpret_status(d1)
  0.07      0.00     0.00     0.00     0.00        1  RackLintPatch::AllowStringSubclass#each
  0.07      0.00     0.00     0.00     0.00        2  Rack::Utils::HeaderHash#initialize
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base#view_paths=
  0.06      0.00     0.00     0.00     0.00        7  Hash#each_pair
  0.06      0.00     0.00     0.00     0.00        2  MonitorMixin#mon_check_owner
  0.06      0.00     0.00     0.00     0.00        2  ActionView::PathSet#find_template
  0.06      0.00     0.00     0.00     0.00        7  String#add_without_safety
  0.06      0.00     0.00     0.00     0.00        2  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#default_charset
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Request#template_format
  0.06      0.00     0.00     0.00     0.00        1  Rack::Lint#check_headers
  0.06      0.00     0.00     0.00     0.00        1  <Class::ActionView::Base>#process_view_paths
  0.06      0.00     0.00     0.00     0.00        3  Object#present?
  0.06      0.00     0.00     0.00     0.00        1  Class#new_without_capture
  0.06      0.02     0.00     0.00     0.02        1  ActiveRecord::QueryCache#call
  0.06      0.00     0.00     0.00     0.00        1  ActionController::ParamsParser#parse_formatted_parameters
  0.06      0.00     0.00     0.00     0.00        8  Class#superclass
  0.06      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#include?
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Request#request_uri
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Time::Conversions#to_s
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#handle_conditional_get!
  0.06      0.00     0.00     0.00     0.00        4  String#to_sym
  0.06      0.02     0.00     0.00     0.02        1  ActionController::StringCoercion#call
  0.06      0.02     0.00     0.00     0.02        1  Rack::Lock#call
  0.06      0.00     0.00     0.00     0.00        2  Kernel#extend
  0.06      0.00     0.00     0.00     0.00        4  String#sub!
  0.05      0.00     0.00     0.00     0.00        3  Mime::Type#to_s
  0.05      0.02     0.00     0.00     0.02        1  Rack::MethodOverride#call
  0.05      0.00     0.00     0.00     0.00        4  NilClass#blank?
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#after_dispatch_callback_chain
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#call
  0.05      0.00     0.00     0.00     0.00        4  Module#name
  0.05      0.00     0.00     0.00     0.00        2  ActionView::Template#render_template
  0.05      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.05      0.00     0.00     0.00     0.00        1  Array#inspect
  0.05      0.00     0.00     0.00     0.00        1  Symbol#to_proc
  0.05      0.00     0.00     0.00     0.00        3  Rack::Request#initialize
  0.05      0.00     0.00     0.00     0.00        1  ActionController::ProcessWithTest#set_test_assigns
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Response#charset=
  0.05      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_release
  0.05      0.00     0.00     0.00     0.00        2  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge
  0.05      0.00     0.00     0.00     0.00        2  ActionController::Rescue#rescues_path
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionView::PathSet>#type_cast
  0.05      0.02     0.00     0.00     0.02        1  ActionController::Failsafe#call
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Base#send_response
  0.05      0.00     0.00     0.00     0.00        1  ActionView::Base::ProxyModule#include
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#encode_cookies
  0.05      0.02     0.00     0.00     0.02        1  ActionController::ParamsParser#call
  0.05      0.00     0.00     0.00     0.00        1  Kernel#lambda
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#new
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize
  0.05      0.00     0.00     0.00     0.00        3  Kernel#Array
  0.05      0.00     0.00     0.00     0.00        4  ActionController::Base#params
  0.05      0.00     0.00     0.00     0.00        4  NilClass#nil?
  0.05      0.00     0.00     0.00     0.00        2  Rack::Utils::HeaderHash#include?
  0.05      0.00     0.00     0.00     0.00        7  Hash#initialize
  0.05      0.00     0.00     0.00     0.00        2  ActiveSupport::BufferedLogger#info
  0.04      0.01     0.00     0.00     0.01        1  ActionController::Rescue#rescue_action
  0.04      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#call
  0.04      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#before_dispatch_callback_chain
  0.04      0.00     0.00     0.00     0.00        1  ActiveSupport::Callbacks::Callback#call
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Request#query_parameters
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Integration::Runner#copy_session_variables!
  0.04      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_content_type!
  0.04      0.00     0.00     0.00     0.00        2  Enumerable#inject
  0.04      0.00     0.00     0.00     0.00        4  Integer#to_i
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Request#form_data?
  0.04      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#view_paths
  0.04      0.00     0.00     0.00     0.00        3  String#to_i
  0.04      0.00     0.00     0.00     0.00        1  Module#append_features
  0.04      0.01     0.00     0.00     0.01        1  ActionController::Filters::InstanceMethods#process
  0.04      0.00     0.00     0.00     0.00        2  Rack::Request#request_method
  0.04      0.00     0.00     0.00     0.00        2  Set#include?
  0.04      0.00     0.00     0.00     0.00        4  Array#<<
  0.04      0.00     0.00     0.00     0.00        2  ActionController::StringCoercion::UglyBody#method_missing
  0.04      0.00     0.00     0.00     0.00        3  String#=~
  0.04      0.00     0.00     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation
  0.04      0.00     0.00     0.00     0.00        1  ActiveSupport::Rescuable#rescue_with_handler
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Request#request_parameters
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Request#xhr?
  0.04      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#clear_active_connections!
  0.04      0.00     0.00     0.00     0.00        3  Array#+
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_cookies!
  0.04      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#checkin_callback_chain(d2)
  0.04      0.00     0.00     0.00     0.00        1  HashWithIndifferentAccess#merge
  0.04      0.02     0.00     0.00     0.02        1  Rack::Lint#call
  0.04      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#release_connection
  0.04      0.01     0.00     0.00     0.01        1  ActiveSupport::BacktraceCleaner#clean
  0.04      0.00     0.00     0.00     0.00        3  ActionController::Integration::Session#https?
  0.04      0.00     0.00     0.00     0.00        1  Object#returning
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#initialize
  0.04      0.00     0.00     0.00     0.00        3  Array#initialize
  0.04      0.00     0.00     0.00     0.00        1  <Module::Rack::Utils::Multipart>#parse_multipart
  0.04      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.04      0.00     0.00     0.00     0.00        1  ActionView::Template#path_without_format_and_extension
  0.04      0.02     0.00     0.00     0.02        1  ActionController::Integration::Session#get
  0.04      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#dup
  0.03      0.00     0.00     0.00     0.00        1  ActionView::PathSet#load!
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Response#nonempty_ok_response?
  0.03      0.00     0.00     0.00     0.00        1  String#scan
  0.03      0.00     0.00     0.00     0.00        2  Array#flatten
  0.03      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#checkin
  0.03      0.01     0.00     0.00     0.01        1  ActionController::Rescue#log_error
  0.03      0.00     0.00     0.00     0.00        1  Hash#update
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Response#sending_file?
  0.03      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#retrieve_connection
  0.03      0.00     0.00     0.00     0.00        1  Rack::Lint#check_status
  0.03      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#extract_request_environment
  0.03      0.00     0.00     0.00     0.00        1  Hash#each_value
  0.03      0.00     0.00     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation=
