Thread ID: 2148303280
Total: 0.021298

 %self     total     self     wait    child    calls  name
  0.16      0.00     0.00     0.00     0.00        5  ActiveSupport::BufferedLogger#clear_buffer
  0.16      0.00     0.00     0.00     0.00        2  ActionController::Request#normalize_parameters
  0.16      0.01     0.00     0.00     0.01        1  ActionController::Base#process_without_filters
  0.16      0.00     0.00     0.00     0.00        1  Module#blankslate_original_append_features
  0.16      0.00     0.00     0.00     0.00       23  Kernel#instance_of?
  0.16      0.00     0.00     0.00     0.00        1  ActiveRecord::Base#initialize
  0.16      0.00     0.00     0.00     0.00        6  ActionView::Template::EagerPath#[]
  0.16      0.00     0.00     0.00     0.00        7  ActionView::Base#template_format
  0.16      0.00     0.00     0.00     0.00       14  Mime::Type#to_s
  0.16      0.00     0.00     0.00     0.00        2  ActionView::Helpers::InstanceTag#initialize
  0.15      0.00     0.00     0.00     0.00        2  <Class::Proc>#new
  0.15      0.00     0.00     0.00     0.00       20  Kernel#nil?
  0.15      0.00     0.00     0.00     0.00        1  ActionController::PolymorphicRoutes#build_named_route_call
  0.15      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#auto_flush
  0.15      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_template_class
  0.15      0.00     0.00     0.00     0.00        1  ActionController::Request#remote_ip
  0.15      0.00     0.00     0.00     0.00       17  Kernel#===
  0.15      0.00     0.00     0.00     0.00       18  <Class::Thread>#critical=
  0.15      0.00     0.00     0.00     0.00        3  HashWithIndifferentAccess#default
  0.15      0.00     0.00     0.00     0.00        6  Array#flatten
  0.15      0.00     0.00     0.00     0.00        4  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.15      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.15      0.01     0.00     0.00     0.01        1  ActionView::Base#_render_with_layout
  0.15      0.00     0.00     0.00     0.00        1  ActionView::Helpers::UrlHelper#link_to
  0.15      0.00     0.00     0.00     0.00        2  Module#extend_object
  0.15      0.00     0.00     0.00     0.00       23  String#include?
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_text
  0.14      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name_without_locals
  0.14      0.00     0.00     0.00     0.00        6  ActiveSupport::CoreExtensions::Hash::Keys#stringify_keys
  0.14      0.00     0.00     0.00     0.00        3  Object#returning
  0.14      0.00     0.00     0.00     0.00        7  NilClass#nil?
  0.14      0.00     0.00     0.00     0.00       15  Kernel#block_given?
  0.14      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#stylesheet_link_tag
  0.14      0.00     0.00     0.00     0.00        5  MonitorMixin#mon_check_owner
  0.14      0.00     0.00     0.00     0.00       16  Module#to_s
